subscription_id,customer_id,product_category,deposit_product_id,product_name,subscription_date,maturity_date,months,amount,interest_rate,status,channel
S00004985,C001659,예금,DEP001,KB국민은행 KB star 정기예금,2020-12-14,2021-12-09,12,100000000,3.5,연장,영업점
S00000691,C000243,예금,DEP004,우리은행 WON플러스 예금,2020-12-14,2021-12-09,12,100000000,3.4,만기,영업점
S00008090,C002801,예금,DEP005,IBK기업은행 i-ONE 정기예금,2020-12-14,2021-12-09,12,100000000,3.1,해지,영업점
S00002201,C000730,예금,DEP001,KB국민은행 KB star 정기예금,2020-12-14,2021-12-09,12,100000000,3.5,해지,영업점
S00000807,C000282,입출금,CHK003,우리은행 우리 SUPER주거래 통장,2020-12-14,2030-12-12,0,2309408,0.1,유지,모바일
S00005925,C002011,적금,SAV003,신한은행 청년 처음 적금,2020-12-14,2022-12-04,24,5426040,4.5,만기,인터넷
S00006906,C002357,입출금,CHK002,KB국민은행 KB Star 입출금통장,2020-12-15,2030-12-13,0,1616785,0.1,유지,영업점
S00003879,C001279,적금,SAV001,KB국민은행 KB 청년희망적금,2020-12-15,2022-12-05,24,11929776,5.0,해지,영업점
S00007483,C002561,예금,DEP005,IBK기업은행 i-ONE 정기예금,2020-12-15,2021-12-10,12,100000000,3.1,해지,영업점
S00005475,C001844,예금,DEP004,우리은행 WON플러스 예금,2020-12-15,2021-12-10,12,100000000,3.4,만기,영업점
S00003397,C001111,적금,SAV001,KB국민은행 KB 청년희망적금,2020-12-15,2022-12-05,24,8666928,5.0,만기,영업점
S00005052,C001681,적금,SAV005,NH농협은행 NH1934월복리적금,2020-12-15,2022-12-05,24,22112064,4.2,만기,인터넷
S00005352,C001797,적금,SAV001,KB국민은행 KB 청년희망적금,2020-12-15,2022-12-05,24,16338408,5.0,해지,영업점
S00006697,C002282,입출금,CHK001,신한은행 쏠편한 입출금 통장,2020-12-15,2030-12-13,0,523232,0.1,유지,모바일
S00006301,C002143,적금,SAV003,신한은행 청년 처음 적금,2020-12-15,2022-12-05,24,12155808,4.5,만기,인터넷
S00006468,C002203,예금,DEP005,IBK기업은행 i-ONE 정기예금,2020-12-16,2021-12-11,12,100000000,3.1,해지,영업점
S00007598,C002609,적금,SAV005,NH농협은행 NH1934월복리적금,2020-12-16,2022-12-06,24,21049968,4.2,만기,인터넷
S00006844,C002333,예금,DEP003,NH농협은행 NH올원 e예금,2020-12-16,2021-06-14,6,100000000,3.3,만기,인터넷
S00006674,C002274,입출금,CHK001,신한은행 쏠편한 입출금 통장,2020-12-17,2030-12-15,0,4881829,0.1,유지,모바일
S00003062,C000994,예금,DEP001,KB국민은행 KB star 정기예금,2020-12-17,2021-12-12,12,33988322,3.5,만기,영업점
S00002963,C000962,입출금,CHK001,신한은행 쏠편한 입출금 통장,2020-12-17,2030-12-15,0,3281061,0.1,유지,모바일
S00001863,C000629,예금,DEP006,하나은행 3·6·9 정기예금,2020-12-17,2021-06-15,6,100000000,3.6,만기,영업점
S00007415,C002538,적금,SAV001,KB국민은행 KB 청년희망적금,2020-12-17,2022-12-07,24,22990416,5.0,연장,영업점
S00003806,C001253,입출금,CHK002,KB국민은행 KB Star 입출금통장,2020-12-18,2030-12-16,0,4557574,0.1,유지,영업점
S00008353,C002902,예금,DEP004,우리은행 WON플러스 예금,2020-12-18,2021-12-13,12,100000000,3.4,해지,영업점
S00001244,C000435,적금,SAV001,KB국민은행 KB 청년희망적금,2020-12-18,2022-12-08,24,12555360,5.0,만기,영업점
S00000716,C000251,예금,DEP002,신한은행 쏠편한 정기예금,2020-12-18,2021-12-13,12,100000000,3.2,연장,인터넷
S00003374,C001104,적금,SAV003,신한은행 청년 처음 적금,2020-12-19,2022-12-09,24,3910224,4.5,만기,인터넷
S00002670,C000870,입출금,CHK003,우리은행 우리 SUPER주거래 통장,2020-12-19,2030-12-17,0,1405949,0.1,유지,모바일
S00003289,C001074,적금,SAV004,KB국민은행 KB 내맘대로 적금,2020-12-19,2021-12-14,12,1306956,3.5,해지,모바일
S00001304,C000455,예금,DEP002,신한은행 쏠편한 정기예금,2020-12-19,2021-12-14,12,100000000,3.2,만기,인터넷
S00001303,C000455,입출금,CHK002,KB국민은행 KB Star 입출금통장,2020-12-19,2030-12-17,0,3479125,0.1,유지,영업점
S00003019,C000978,적금,SAV005,NH농협은행 NH1934월복리적금,2020-12-19,2022-12-09,24,15208800,4.2,만기,인터넷
S00000006,C000003,적금,SAV003,신한은행 청년 처음 적금,2020-12-19,2022-12-09,24,8167272,4.5,연장,인터넷
S00007538,C002586,적금,SAV003,신한은행 청년 처음 적금,2020-12-20,2022-12-10,24,21154752,4.5,만기,인터넷
S00002315,C000764,예금,DEP006,하나은행 3·6·9 정기예금,2020-12-20,2021-06-18,6,40616611,3.6,해지,영업점
S00000661,C000232,예금,DEP001,KB국민은행 KB star 정기예금,2020-12-21,2021-12-16,12,100000000,3.5,만기,영업점
S00005508,C001858,예금,DEP004,우리은행 WON플러스 예금,2020-12-21,2021-12-16,12,100000000,3.4,만기,영업점
S00006559,C002236,입출금,CHK003,우리은행 우리 SUPER주거래 통장,2020-12-21,2030-12-19,0,2657755,0.1,유지,모바일
S00005704,C001933,예금,DEP005,IBK기업은행 i-ONE 정기예금,2020-12-22,2021-12-17,12,100000000,3.1,해지,영업점
S00004349,C001432,예금,DEP002,신한은행 쏠편한 정기예금,2020-12-22,2021-12-17,12,100000000,3.2,해지,인터넷
S00001004,C000352,입출금,CHK003,우리은행 우리 SUPER주거래 통장,2020-12-22,2030-12-20,0,3191696,0.1,유지,모바일
S00002390,C000785,예금,DEP001,KB국민은행 KB star 정기예금,2020-12-22,2021-12-17,12,23290488,3.5,해지,영업점
S00003617,C001181,예금,DEP004,우리은행 WON플러스 예금,2020-12-22,2021-12-17,12,100000000,3.4,해지,영업점
S00006557,C002236,적금,SAV003,신한은행 청년 처음 적금,2020-12-22,2022-12-12,24,14986248,4.5,만기,인터넷
S00007360,C002516,예금,DEP003,NH농협은행 NH올원 e예금,2020-12-23,2021-06-21,6,100000000,3.3,해지,인터넷
S00006565,C002238,예금,DEP002,신한은행 쏠편한 정기예금,2020-12-23,2021-12-18,12,100000000,3.2,만기,인터넷
S00007393,C002529,예금,DEP005,IBK기업은행 i-ONE 정기예금,2020-12-23,2021-12-18,12,100000000,3.1,연장,영업점
S00005634,C001910,예금,DEP002,신한은행 쏠편한 정기예금,2020-12-23,2021-12-18,12,100000000,3.2,만기,인터넷
S00006384,C002173,적금,SAV003,신한은행 청년 처음 적금,2020-12-24,2022-12-14,24,8909256,4.5,해지,인터넷
S00007996,C002768,적금,SAV003,신한은행 청년 처음 적금,2020-12-24,2022-12-14,24,15122448,4.5,만기,인터넷
S00000352,C000118,적금,SAV002,하나은행 하나 청년도약계좌,2020-12-24,2021-12-19,12,10849320,4.0,해지,영업점
S00004156,C001366,예금,DEP006,하나은행 3·6·9 정기예금,2020-12-24,2021-06-22,6,100000000,3.6,만기,영업점
S00006727,C002292,입출금,CHK001,신한은행 쏠편한 입출금 통장,2020-12-24,2030-12-22,0,2125825,0.1,유지,모바일
S00008536,C002977,예금,DEP004,우리은행 WON플러스 예금,2020-12-24,2021-12-19,12,100000000,3.4,만기,영업점
S00006124,C002085,예금,DEP001,KB국민은행 KB star 정기예금,2020-12-25,2021-12-20,12,100000000,3.5,만기,영업점
S00003265,C001064,예금,DEP005,IBK기업은행 i-ONE 정기예금,2020-12-25,2021-12-20,12,100000000,3.1,만기,영업점
S00002901,C000943,적금,SAV003,신한은행 청년 처음 적금,2020-12-26,2022-12-16,24,5156088,4.5,연장,인터넷
S00007837,C002707,입출금,CHK003,우리은행 우리 SUPER주거래 통장,2020-12-26,2030-12-24,0,3031178,0.1,유지,모바일
S00006536,C002227,입출금,CHK001,신한은행 쏠편한 입출금 통장,2020-12-26,2030-12-24,0,1218389,0.1,유지,모바일
S00001484,C000513,적금,SAV001,KB국민은행 KB 청년희망적금,2020-12-27,2022-12-17,24,11444184,5.0,연장,영업점
S00003513,C001149,예금,DEP004,우리은행 WON플러스 예금,2020-12-28,2021-12-23,12,100000000,3.4,만기,영업점
S00002844,C000927,예금,DEP001,KB국민은행 KB star 정기예금,2020-12-28,2021-12-23,12,43394462,3.5,연장,영업점
S00007515,C002575,예금,DEP002,신한은행 쏠편한 정기예금,2020-12-28,2021-12-23,12,100000000,3.2,만기,인터넷
S00001421,C000495,적금,SAV005,NH농협은행 NH1934월복리적금,2020-12-28,2022-12-18,24,13231248,4.2,연장,인터넷
S00006656,C002267,입출금,CHK002,KB국민은행 KB Star 입출금통장,2020-12-28,2030-12-26,0,1376480,0.1,유지,영업점
S00005808,C001970,적금,SAV002,하나은행 하나 청년도약계좌,2020-12-28,2021-12-23,12,1816776,4.0,만기,영업점
S00005176,C001730,적금,SAV001,KB국민은행 KB 청년희망적금,2020-12-28,2022-12-18,24,17210496,5.0,만기,영업점
S00003196,C001042,예금,DEP003,NH농협은행 NH올원 e예금,2020-12-28,2021-06-26,6,100000000,3.3,만기,인터넷
S00003232,C001053,예금,DEP003,NH농협은행 NH올원 e예금,2020-12-28,2021-06-26,6,100000000,3.3,만기,인터넷
S00001585,C000545,적금,SAV003,신한은행 청년 처음 적금,2020-12-28,2022-12-18,24,13746192,4.5,만기,인터넷
S00006941,C002369,적금,SAV004,KB국민은행 KB 내맘대로 적금,2020-12-29,2021-12-24,12,9914412,3.5,만기,모바일
S00004889,C001621,적금,SAV005,NH농협은행 NH1934월복리적금,2020-12-30,2022-12-20,24,13181352,4.2,만기,인터넷
S00000951,C000331,적금,SAV001,KB국민은행 KB 청년희망적금,2020-12-30,2022-12-20,24,2526048,5.0,만기,영업점
S00005237,C001751,입출금,CHK002,KB국민은행 KB Star 입출금통장,2020-12-30,2030-12-28,0,3750879,0.1,유지,영업점
S00000427,C000147,적금,SAV004,KB국민은행 KB 내맘대로 적금,2020-12-31,2021-12-26,12,11127420,3.5,만기,모바일
S00000312,C000105,적금,SAV004,KB국민은행 KB 내맘대로 적금,2020-12-31,2021-12-26,12,3862728,3.5,만기,모바일
S00002691,C000877,적금,SAV005,NH농협은행 NH1934월복리적금,2020-12-31,2022-12-21,24,7446720,4.2,연장,인터넷
S00003320,C001085,적금,SAV005,NH농협은행 NH1934월복리적금,2020-12-31,2022-12-21,24,5688984,4.2,해지,인터넷
S00005603,C001896,입출금,CHK001,신한은행 쏠편한 입출금 통장,2020-12-31,2030-12-29,0,4725521,0.1,유지,모바일
S00002371,C000780,입출금,CHK002,KB국민은행 KB Star 입출금통장,2021-01-01,2030-12-30,0,318673,0.1,유지,영업점
S00004477,C001481,적금,SAV005,NH농협은행 NH1934월복리적금,2021-01-01,2022-12-22,24,8678856,4.2,만기,인터넷
S00002508,C000818,적금,SAV002,하나은행 하나 청년도약계좌,2021-01-01,2021-12-27,12,2254128,4.0,만기,영업점
S00002991,C000969,적금,SAV003,신한은행 청년 처음 적금,2021-01-02,2022-12-23,24,19135368,4.5,만기,인터넷
S00003763,C001237,예금,DEP004,우리은행 WON플러스 예금,2021-01-02,2021-12-28,12,100000000,3.4,만기,영업점
S00000810,C000283,예금,DEP003,NH농협은행 NH올원 e예금,2021-01-03,2021-07-02,6,100000000,3.3,만기,인터넷
S00002659,C000868,적금,SAV003,신한은행 청년 처음 적금,2021-01-03,2022-12-24,24,2459520,4.5,만기,인터넷
S00007098,C002426,예금,DEP003,NH농협은행 NH올원 e예금,2021-01-03,2021-07-02,6,100000000,3.3,해지,인터넷
S00002044,C000682,적금,SAV005,NH농협은행 NH1934월복리적금,2021-01-03,2022-12-24,24,15811608,4.2,해지,인터넷
S00000169,C000058,예금,DEP002,신한은행 쏠편한 정기예금,2021-01-03,2021-12-29,12,100000000,3.2,만기,인터넷
S00005743,C001947,입출금,CHK003,우리은행 우리 SUPER주거래 통장,2021-01-03,2031-01-01,0,3902158,0.1,유지,모바일
S00000240,C000082,예금,DEP002,신한은행 쏠편한 정기예금,2021-01-03,2021-12-29,12,100000000,3.2,만기,인터넷
S00002929,C000949,예금,DEP005,IBK기업은행 i-ONE 정기예금,2021-01-03,2021-12-29,12,100000000,3.1,해지,영업점
S00001615,C000553,적금,SAV001,KB국민은행 KB 청년희망적금,2021-01-04,2022-12-25,24,15855984,5.0,만기,영업점
S00006898,C002354,예금,DEP002,신한은행 쏠편한 정기예금,2021-01-04,2021-12-30,12,100000000,3.2,해지,인터넷
S00002996,C000971,적금,SAV001,KB국민은행 KB 청년희망적금,2021-01-04,2022-12-25,24,15647976,5.0,만기,영업점
S00006764,C002305,예금,DEP003,NH농협은행 NH올원 e예금,2021-01-04,2021-07-03,6,100000000,3.3,만기,인터넷
S00001707,C000581,입출금,CHK001,신한은행 쏠편한 입출금 통장,2021-01-04,2031-01-02,0,3219159,0.1,유지,모바일
S00004493,C001484,예금,DEP001,KB국민은행 KB star 정기예금,2021-01-04,2021-12-30,12,100000000,3.5,만기,영업점
S00001620,C000555,적금,SAV005,NH농협은행 NH1934월복리적금,2021-01-04,2022-12-25,24,3295608,4.2,해지,인터넷
S00007572,C002600,입출금,CHK001,신한은행 쏠편한 입출금 통장,2021-01-05,2031-01-03,0,4013072,0.1,유지,모바일
S00006179,C002103,예금,DEP001,KB국민은행 KB star 정기예금,2021-01-05,2021-12-31,12,100000000,3.5,만기,영업점
S00001246,C000435,적금,SAV002,하나은행 하나 청년도약계좌,2021-01-05,2021-12-31,12,6757836,4.0,만기,영업점
S00000800,C000279,적금,SAV001,KB국민은행 KB 청년희망적금,2021-01-05,2022-12-26,24,8798616,5.0,해지,영업점
S00002831,C000922,예금,DEP002,신한은행 쏠편한 정기예금,2021-01-05,2021-12-31,12,100000000,3.2,해지,인터넷
S00007602,C002611,적금,SAV004,KB국민은행 KB 내맘대로 적금,2021-01-05,2021-12-31,12,10702068,3.5,만기,모바일
S00005315,C001783,적금,SAV003,신한은행 청년 처음 적금,2021-01-05,2022-12-26,24,18852768,4.5,해지,인터넷
S00007822,C002703,적금,SAV003,신한은행 청년 처음 적금,2021-01-05,2022-12-26,24,2562504,4.5,해지,인터넷
S00001877,C000632,입출금,CHK002,KB국민은행 KB Star 입출금통장,2021-01-05,2031-01-03,0,1952256,0.1,유지,영업점
S00004215,C001385,적금,SAV003,신한은행 청년 처음 적금,2021-01-05,2022-12-26,24,3081336,4.5,만기,인터넷
S00002479,C000808,예금,DEP002,신한은행 쏠편한 정기예금,2021-01-06,2022-01-01,12,100000000,3.2,만기,인터넷
S00002589,C000844,적금,SAV003,신한은행 청년 처음 적금,2021-01-06,2022-12-27,24,13633848,4.5,만기,인터넷
S00005087,C001695,예금,DEP002,신한은행 쏠편한 정기예금,2021-01-06,2022-01-01,12,100000000,3.2,해지,인터넷
S00003096,C001004,예금,DEP005,IBK기업은행 i-ONE 정기예금,2021-01-06,2022-01-01,12,100000000,3.1,만기,영업점
S00003167,C001030,적금,SAV002,하나은행 하나 청년도약계좌,2021-01-07,2022-01-02,12,10572072,4.0,만기,영업점
S00000004,C000002,적금,SAV005,NH농협은행 NH1934월복리적금,2021-01-07,2022-12-28,24,6233376,4.2,해지,인터넷
S00000699,C000246,입출금,CHK003,우리은행 우리 SUPER주거래 통장,2021-01-07,2031-01-05,0,2209823,0.1,유지,모바일
S00006962,C002376,입출금,CHK001,신한은행 쏠편한 입출금 통장,2021-01-07,2031-01-05,0,2739088,0.1,유지,모바일
S00007147,C002441,적금,SAV003,신한은행 청년 처음 적금,2021-01-07,2022-12-28,24,16097232,4.5,만기,인터넷
S00007273,C002485,입출금,CHK003,우리은행 우리 SUPER주거래 통장,2021-01-07,2031-01-05,0,322224,0.1,유지,모바일
S00000348,C000117,적금,SAV001,KB국민은행 KB 청년희망적금,2021-01-08,2022-12-29,24,6339408,5.0,연장,영업점
S00000860,C000302,예금,DEP002,신한은행 쏠편한 정기예금,2021-01-08,2022-01-03,12,100000000,3.2,만기,인터넷
S00002549,C000829,적금,SAV005,NH농협은행 NH1934월복리적금,2021-01-08,2022-12-29,24,14812392,4.2,만기,인터넷
S00006653,C002266,적금,SAV003,신한은행 청년 처음 적금,2021-01-08,2022-12-29,24,11250888,4.5,만기,인터넷
S00003550,C001160,적금,SAV001,KB국민은행 KB 청년희망적금,2021-01-08,2022-12-29,24,20533680,5.0,만기,영업점
S00004888,C001621,적금,SAV002,하나은행 하나 청년도약계좌,2021-01-09,2022-01-04,12,9417216,4.0,만기,영업점
S00005389,C001812,예금,DEP005,IBK기업은행 i-ONE 정기예금,2021-01-09,2022-01-04,12,100000000,3.1,연장,영업점
S00001730,C000587,예금,DEP001,KB국민은행 KB star 정기예금,2021-01-09,2022-01-04,12,100000000,3.5,만기,영업점
S00004509,C001489,예금,DEP004,우리은행 WON플러스 예금,2021-01-09,2022-01-04,12,100000000,3.4,만기,영업점
S00004341,C001429,예금,DEP005,IBK기업은행 i-ONE 정기예금,2021-01-09,2022-01-04,12,100000000,3.1,연장,영업점
S00002672,C000871,예금,DEP002,신한은행 쏠편한 정기예금,2021-01-10,2022-01-05,12,100000000,3.2,연장,인터넷
S00000192,C000066,적금,SAV003,신한은행 청년 처음 적금,2021-01-10,2022-12-31,24,20313264,4.5,해지,인터넷
S00007202,C002458,입출금,CHK001,신한은행 쏠편한 입출금 통장,2021-01-10,2031-01-08,0,2945664,0.1,유지,모바일
S00003683,C001205,예금,DEP005,IBK기업은행 i-ONE 정기예금,2021-01-11,2022-01-06,12,100000000,3.1,해지,영업점
S00007688,C002644,예금,DEP004,우리은행 WON플러스 예금,2021-01-11,2022-01-06,12,100000000,3.4,해지,영업점
